SectionId	ParagraphId	SentenceId	TokenId	Begin	End	Token	Lemma	CPOS	POS	Chunk	Morphology	Hyphenation	DependencyHead	DependencyRelation	NamedEntity	QuoteMarker	CoreferenceChainIds	SyntaxTree	Predicate	SemanticArgumentIndex
_	0	0	0	0	7	Theodor	theodor	NP	NE	_	_	_	_	_	B-PER	0	_	_	_	_
_	0	0	1	8	15	Fontane	fontane	NP	NE	_	_	_	_	_	I-PER	0	_	_	_	_
_	0	0	2	15	16	:	--	PUNC	$.	_	_	_	_	_	_	0	_	_	_	_
_	0	0	3	17	21	Effi	effi	NP	NE	_	_	_	_	_	_	0	_	_	_	_
_	0	0	4	22	28	Briest	briest	NP	NE	_	_	_	_	_	_	0	_	_	_	_
_	0	0	5	29	34	Roman	roman	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	6	36	42	Erstes	erster	ADJ	ADJA	_	_	_	_	_	_	0	_	_	_	_
_	1	1	7	43	50	Kapitel	kapitel	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	8	51	53	In	in	PP	APPR	_	_	_	_	_	_	0	_	_	_	_
_	1	1	9	54	59	Front	front	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	10	60	63	des	der	ART	ART	_	_	_	_	_	_	0	_	_	_	_
_	1	1	11	64	69	schon	schon	ADV	ADV	_	_	_	_	_	_	0	_	_	_	_
_	1	1	12	70	74	seit	seit	PP	APPR	_	_	_	_	_	_	0	_	_	_	_
_	1	1	13	75	83	Kurfürst	kurfürst	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	14	84	89	Georg	georg	NP	NE	_	_	_	_	_	B-PER	0	_	_	_	_
_	1	1	15	90	97	Wilhelm	wilhelm	NP	NE	_	_	_	_	_	I-PER	0	_	_	_	_
_	1	1	16	98	101	von	von	PP	APPR	_	_	_	_	_	_	0	_	_	_	_
_	1	1	17	102	105	der	der	ART	ART	_	_	_	_	_	_	0	_	_	_	_
_	1	1	18	106	113	Familie	familie	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	19	114	117	von	von	PP	APPR	_	_	_	_	_	_	0	_	_	_	_
_	1	1	20	118	124	Briest	briest	NP	NE	_	_	_	_	_	_	0	_	_	_	_
_	1	1	21	125	134	bewohnten	bewohnt	ADJ	ADJA	_	_	_	_	_	_	0	_	_	_	_
_	1	1	22	135	147	Herrenhauses	herrenhaus	NN	NN	_	_	_	_	_	_	0	_	_	_	_
_	1	1	23	148	150	zu	zu	PP	APPR	_	_	_	_	_	_	0	_	_	_	_
